age_check,agree_rules,consent,age_1,mc_background,mc_player,mc_collab,expertise_1,expertise_2,expertise_3,mc_act,mc_act_8_TEXT,mc_dim,mc_mode,mc_level,mc_friends,mc_num_ppl,age_2,study_ref,study_ref_5_TEXT
Yes,Yes,Yes,20,Yes,Both,Yes,7,6,8,"Exploring,Other",Mining,The Overworld,"Creative,Survival",Normal,No,,20,Dept. email,
Yes,Yes,Yes,19,Yes,Singleplayer,,7,9,4,"Exploring,Crafting",,The Overworld,Survival,"Easy,Normal",No,,19,Dept. email,
Yes,Yes,Yes,19,Yes,Both,Yes,8,8,6,"Exploring,Crafting,Surviving",,The Overworld,Survival,"Normal,Hard",No,,,,
Yes,Yes,Yes,19,Yes,Both,Sometimes,7,9,6,"Building,Exploring,Combat w/ Monsters,Other",Enchanting,The Overworld,"Survival,Hardcore","Normal,Hardcore Mode",No,,19,From a friend,
Yes,Yes,Yes,20,Yes,Both,Sometimes,8,10,7,"Building,Exploring",,The Overworld,Survival,Normal,No,,20,From a friend,
Yes,Yes,Yes,26,No,,,,,,,,,,,No,,26,From a friend,
Yes,Yes,Yes,19,No,,,,,,,,,,,Yes,1,19,From a friend,
Yes,Yes,Yes,19,Yes,Multiplayer,Yes,7,7,7,"Building,Exploring,Crafting,Surviving,Experience",,The Overworld,Survival,Normal,No,,19,Dept. email,
Yes,Yes,Yes,18,Yes,Both,Sometimes,7,4,6,"Exploring,Surviving",,The Overworld,Survival,Normal,No,,18,Other(s),Sister
Yes,Yes,Yes,23,Yes,Both,Yes,10,10,10,"Building,Exploring,Crafting,Experience",,The Overworld,Survival,Normal,No,,23,Dept. email,
Yes,Yes,Yes,18,Yes,Both,Sometimes,9,9,9,"Building,Exploring,Crafting,Surviving,Combat w/ Monsters",,The Overworld,"Survival,Hardcore",Hard,No,,18,Dept. email,
Yes,Yes,Yes,21,Yes,Both,,10,10,10,"Building,Exploring,Crafting,Surviving,Combat w/ Monsters,Experience",,The Overworld,"Survival,Hardcore","Hard,Hardcore Mode",Yes,2,21,Dept. email,
Yes,Yes,Yes,19,Yes,Both,Sometimes,7,8,6,"Building,Exploring",,The Overworld,Survival,Hard,No,,19,From a friend,
Yes,Yes,Yes,20,Yes,Multiplayer,Yes,7,5,6,"Building,Exploring",,The Overworld,Survival,Normal,Yes,1,20,From a friend,
Yes,Yes,Yes,19,Yes,Both,Yes,10,10,10,"Building,Exploring,Crafting,Surviving,Combat w/ Players,Combat w/ Monsters,Experience,Other",Redstone,The Overworld,"Survival,Hardcore",Hard,No,,19,Dept. email,
Yes,Yes,Yes,19,Yes,Both,Yes,6,5,7,"Building,Crafting,Surviving",,The Overworld,"Survival,Hardcore","Normal,Hard",No,,19,Dept. email,
Yes,Yes,Yes,20,Yes,Both,Yes,10,10,10,"Building,Exploring,Experience",,"The Overworld,The Nether,The End",Survival,"Normal,Hard",No,,20,Dept. email,
Yes,Yes,Yes,24,Yes,Both,Sometimes,6,6,6,"Building,Exploring",,The Overworld,Survival,Normal,No,,24,Dept. email,
Yes,Yes,Yes,20,Yes,Singleplayer,,7,8,6,"Exploring,Crafting,Surviving,Combat w/ Monsters",,The Overworld,Survival,Normal,No,,20,Dept. email,
Yes,Yes,Yes,20,Yes,Both,Sometimes,6,7,5,"Building,Exploring,Surviving",,The Overworld,"Creative,Survival",Normal,No,,20,Dept. email,
Yes,Yes,Yes,20,Yes,Both,Sometimes,8,9,7,"Building,Exploring,Crafting,Experience",,The Overworld,Survival,Normal,No,,20,Dept. email,
