x,y,z,player,worldName,worldTime
-2443,152,457,24,world,21584634
-2441,152,457,24,world,21584725
-2440,134,477,24,world,21584836
-2435,124,490,24,world,21584852
-2421,113,485,24,world,21584870
-2409,102,471,24,world,21584886
-2403,90,450,24,world,21584903
-2417,84,443,24,world,21584919
-2426,61,456,24,world,21584994
-2430,67,463,24,world,21585181
-2427,70,450,24,world,21585290
-2431,70,445,24,world,21587012
-2429,70,459,24,world,21587595
-2427,70,456,24,world,21587702
-2430,70,447,24,world,21587736
-2431,72,435,24,world,21588344
-2431,71,438,24,world,21588704
-2434,71,438,24,world,21588975
-2435,71,444,24,world,21589004
-2430,70,448,24,world,21589061
-2427,70,454,24,world,21589101
-2436,70,455,24,world,21589183
-2436,71,449,24,world,21589222
-2430,71,445,24,world,21589307
-2429,72,438,24,world,21589588
-2429,71,446,24,world,21589645
-2429,72,438,24,world,21589779
-2429,72,442,24,world,21589856
-2429,71,445,24,world,21589867
-2427,70,454,24,world,21590101
-2424,69,464,24,world,21590164
-2415,70,493,24,world,21590181
-2408,77,520,24,world,21590200
-2404,84,540,24,world,21590220
-2401,86,557,24,world,21590240
-2399,84,573,24,world,21590260
-2389,81,586,24,world,21590279
-2387,75,598,24,world,21590304
-2399,71,607,24,world,21590327
-2391,65,608,24,world,21590356
-2391,65,608,24,world,21590551
-2393,66,612,24,world,21590699
-2398,64,616,24,world,21590928
-2394,64,617,24,world,21590969
-2399,64,618,24,world,21591151
-2395,64,620,24,world,21591305
-2391,65,615,24,world,21591462
-2391,66,618,24,world,21591636
-2389,65,615,24,world,21591748
-2391,67,609,24,world,21591769
-2391,63,603,24,world,21591793
-2394,63,592,24,world,21591857
-2398,64,588,24,world,21591894
-2399,64,588,24,world,21591958
-2393,63,590,24,world,21592161
-2393,63,590,24,world,21592346
-2397,63,590,24,world,21592556
-2398,63,583,24,world,21592625
-2403,70,558,24,world,21592642
-2407,77,538,24,world,21592656
-2412,80,518,24,world,21592669
-2417,80,500,24,world,21592684
-2423,79,473,24,world,21592711
-2430,63,461,24,world,21592825
-2430,69,460,24,world,21592946
-2427,71,451,24,world,21593286
-2429,70,450,24,world,21594885
-2429,72,437,24,world,21595095
-2435,71,441,24,world,21595372
-2431,71,442,24,world,21595613
-2430,70,443,24,world,21595815
-2432,71,437,24,world,21596478
-2433,70,445,24,world,21596749
-2432,71,441,24,world,21597201
-2429,70,450,24,world,21597236
-2427,70,456,24,world,21597259
-2430,70,460,24,world,21597346
-2437,71,456,24,world,21597382
-2430,72,435,24,world,21597709
-2427,71,451,24,world,21597787
-2430,69,460,24,world,21597843
-2432,64,463,24,world,21597943
-2433,63,464,24,world,21598108
-2432,63,465,24,world,21598221
-2427,70,456,24,world,21598357
-2431,71,444,24,world,21598403
-2431,70,448,24,world,21598622
-2435,63,462,24,world,21599022
-2435,64,464,24,world,21599345
-2443,75,491,24,world,21599366
-2453,83,518,24,world,21599386
-2462,88,539,24,world,21599406
-2474,87,558,24,world,21599430
-2500,80,592,24,world,21599470
-2515,76,610,24,world,21599489
-2505,64,630,24,world,21599976
-2512,66,613,24,world,21600459
-2512,81,594,24,world,21600474
-2506,87,570,24,world,21600490
-2497,89,553,24,world,21600506
-2488,88,537,24,world,21600523
-2476,86,522,24,world,21600541
-2455,80,494,24,world,21600572
-2456,76,480,24,world,21600585
-2449,69,462,24,world,21600610
-2438,62,453,24,world,21600794
-2438,62,450,24,world,21600828
-2437,61,458,24,world,21601196
-2426,67,468,24,world,21601462
-2427,80,493,24,world,21601479
-2432,94,512,24,world,21601496
-2440,102,528,24,world,21601516
-2448,101,542,24,world,21601536
-2458,97,555,24,world,21601554
-2474,92,572,24,world,21601576
-2493,87,582,24,world,21601594
-2532,76,610,24,world,21601628
-2525,70,629,24,world,21601646
-2508,66,631,24,world,21601668
-2497,65,624,24,world,21602388
-2497,79,593,24,world,21602594
-2490,91,571,24,world,21602610
-2485,105,556,24,world,21602625
-2480,117,544,24,world,21602642
-2474,120,534,24,world,21602660
-2461,113,511,24,world,21602694
-2458,106,497,24,world,21602709
-2462,98,485,24,world,21602721
-2454,78,471,24,world,21602752
-2436,64,465,24,world,21602804
-2435,62,459,24,world,21602909
-2438,62,455,24,world,21602978
-2445,62,450,24,world,21603012
-2444,61,448,24,world,21603065
-2440,62,466,24,world,21603348
-2451,62,490,24,world,21603414
-2459,62,498,24,world,21603441
-2465,62,504,24,world,21603463
-2473,62,514,24,world,21603495
-2474,63,514,24,world,21603558
-2462,63,526,24,world,21603740
-2460,64,536,24,world,21603776
-2458,64,551,24,world,21603824
-2456,63,560,24,world,21603855
-2450,63,578,24,world,21603920
-2439,63,587,24,world,21603974
-2430,63,592,24,world,21604012
-2430,64,603,24,world,21604053
-2428,65,610,24,world,21604079
-2425,64,615,24,world,21604132
-2414,64,617,24,world,21604171
-2407,65,617,24,world,21604205
-2403,67,623,24,world,21604244
-2408,63,635,24,world,21604308
-2416,66,638,24,world,21604354
-2438,70,637,24,world,21604457
-2451,69,637,24,world,21604517
-2468,68,636,24,world,21605117
-2477,68,636,24,world,21605150
-2484,69,636,24,world,21605175
-2496,74,631,24,world,21605189
-2494,87,611,24,world,21605204
-2489,102,595,24,world,21605218
-2480,120,574,24,world,21605245
-2476,121,565,24,world,21605260
