x,y,z,player,worldName,worldTime
368,80,-740,34,world,19011776
362,79,-747,34,world,19011805
342,73,-761,34,world,19011941
332,69,-761,34,world,19011979
322,70,-762,34,world,19012023
306,66,-776,34,world,19012311
296,67,-780,34,world,19012353
286,64,-781,34,world,19012428
274,64,-778,34,world,19012495
272,63,-780,34,world,19012569
266,64,-778,34,world,19012640
262,65,-768,34,world,19012686
256,63,-764,34,world,19012757
252,67,-751,34,world,19012810
244,65,-742,34,world,19012864
223,69,-743,34,world,19012956
219,68,-744,34,world,19013003
208,68,-743,34,world,19013044
204,70,-736,34,world,19013097
193,65,-734,34,world,19013212
187,69,-737,34,world,19013251
181,69,-744,34,world,19013287
180,69,-748,34,world,19013475
178,69,-749,34,world,19013680
180,68,-739,34,world,19013750
170,64,-738,34,world,19013791
165,68,-748,34,world,19013847
159,66,-756,34,world,19013897
151,65,-749,34,world,19013933
139,64,-755,34,world,19013976
131,64,-760,34,world,19014008
118,64,-764,34,world,19014044
118,65,-757,34,world,19014085
118,67,-751,34,world,19014120
107,70,-746,34,world,19014160
101,71,-741,34,world,19014203
91,73,-731,34,world,19014276
84,71,-734,34,world,19014372
61,71,-722,34,world,19014496
47,72,-718,34,world,19014659
34,69,-713,34,world,19014768
24,68,-714,34,world,19014811
10,63,-701,34,world,19014888
2,63,-705,34,world,19014916
6,63,-702,34,world,19015072
8,63,-703,34,world,19015416
2,63,-708,34,world,19015578
2,65,-707,34,world,19015641
4,63,-702,34,world,19015696
2,63,-703,34,world,19015769
9,66,-704,34,world,19016402
9,64,-702,34,world,19016448
10,63,-703,34,world,19016738
6,64,-700,34,world,19016782
9,63,-700,34,world,19016839
2,66,-705,34,world,19016970
2,66,-702,34,world,19017019
4,68,-707,34,world,19017930
0,63,-706,34,world,19018114
8,63,-704,34,world,19018327
-4,64,-711,34,world,19018483
-4,68,-718,34,world,19018789
-4,63,-708,34,world,19018995
-1,63,-707,34,world,19019027
-6,63,-710,34,world,19019126
-11,63,-720,34,world,19019161
-15,64,-729,34,world,19019212
-22,64,-733,34,world,19019269
-30,65,-741,34,world,19019305
-22,65,-762,34,world,19019412
-20,66,-776,34,world,19019480
-18,66,-777,34,world,19019551
-22,64,-759,34,world,19019754
-19,62,-756,34,world,19019844
-22,61,-765,34,world,19019919
-22,60,-774,34,world,19019946
-31,67,-775,34,world,19020121
-30,67,-763,34,world,19020185
-28,64,-742,34,world,19020319
-39,64,-747,34,world,19020358
-50,63,-754,34,world,19020410
-52,63,-755,34,world,19020459
-42,63,-747,34,world,19020499
-35,63,-743,34,world,19020524
-33,65,-746,34,world,19020556
-37,64,-751,34,world,19020585
-36,64,-750,34,world,19020661
-29,64,-744,34,world,19020695
-29,64,-740,34,world,19020802
-32,64,-744,34,world,19020897
-26,64,-737,34,world,19020959
-15,65,-729,34,world,19021047
-11,63,-717,34,world,19021090
-3,64,-708,34,world,19021134
6,63,-705,34,world,19021205
-4,64,-711,34,world,19021268
6,63,-704,34,world,19021387
-10,62,-702,34,world,19021554
-26,62,-695,34,world,19021598
-41,62,-688,34,world,19021640
-56,62,-681,34,world,19021681
-72,62,-673,34,world,19021725
-88,62,-666,34,world,19021780
-102,62,-659,34,world,19021812
-117,62,-652,34,world,19021850
