block,x,y,z,player,worldName,time
NETHERRACK,-63,57,194,1,world_nether,17933961
NETHERRACK,-59,57,199,1,world_nether,17934037
NETHER_BRICKS,-51,57,198,1,world_nether,17934110
NETHERRACK,-36,57,200,1,world_nether,17934317
NETHERRACK,-51,57,199,1,world_nether,17934374
NETHER_BRICKS,-39,57,199,1,world_nether,17934507
NETHER_BRICK_FENCE,-53,57,199,1,world_nether,17935189
NETHERRACK,-46,57,198,1,world_nether,17935460
NETHERRACK,-26,57,198,1,world_nether,17935558
NETHERRACK,-40,57,198,1,world_nether,17935613
NETHERRACK,-42,57,197,1,world_nether,17935745
NETHERRACK,-42,57,178,1,world_nether,17944325
NETHER_BRICKS,-24,57,160,1,world_nether,17945368
BASALT,-522,49,135,1,world_nether,18489529
MAGMA_BLOCK,-521,36,71,1,world_nether,20220216
MAGMA_BLOCK,-523,35,73,1,world_nether,20220254
MAGMA_BLOCK,-524,34,74,1,world_nether,20220295
MAGMA_BLOCK,-528,34,76,1,world_nether,20220342
NETHERRACK,-526,33,75,1,world_nether,20220401
MAGMA_BLOCK,-524,33,74,1,world_nether,20220433
MAGMA_BLOCK,-526,35,84,1,world_nether,20220622
MAGMA_BLOCK,-524,32,88,1,world_nether,20220663
MAGMA_BLOCK,-523,33,86,1,world_nether,20220687
MAGMA_BLOCK,-523,33,87,1,world_nether,20220717
NETHERRACK,-521,31,84,1,world_nether,20220781
MAGMA_BLOCK,-521,31,84,1,world_nether,20220804
NETHERRACK,-520,31,86,1,world_nether,20220836
MAGMA_BLOCK,-519,31,87,1,world_nether,20220868
NETHERRACK,-518,31,88,1,world_nether,20220894
GLOWSTONE,-530,44,139,1,world_nether,20221604
GLOWSTONE,-524,104,97,1,world_nether,20222451
GLOWSTONE,-521,102,94,1,world_nether,20222765
GLOWSTONE,-523,101,98,1,world_nether,20223146
GLOWSTONE,-540,92,124,1,world_nether,20224276
GLOWSTONE,-539,91,123,1,world_nether,20224809
